srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips,ct_state_ttl,ct_flw_http,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.45.176.3,21223,149.171.126.18,32780,udp,INT,2.1e-05,728,0,254,0,0,0,-,138666672.0,0.0,2,0,0,0,0,0,364,0,0,0,0.0,0.0,1421927415,1421927415,0.021,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,23357,149.171.126.16,80,tcp,FIN,0.240139,918,25552,62,252,2,10,http,28050.42188,815794.1875,12,24,255,255,1708297952,1939490744,77,1065,1,12026,1170.481668,1144.38336,1421927416,1421927416,21.830818,9.570304,0.051475,0.006528,0.044947,0,1,1,0,0,3,2,2,1,1,1,1,Exploits,1
175.45.176.0,13284,149.171.126.16,80,tcp,FIN,2.39039,1362,268,254,252,6,1,http,4233.619141,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.724938,1421927414,1421927416,183.579303,474.259406,0.066088,0.017959,0.048129,0,1,1,0,0,5,2,2,1,1,1,1,Reconnaissance,1
175.45.176.2,13792,149.171.126.16,5555,tcp,FIN,0.17519,8168,268,254,252,4,1,-,346366.8125,10228.89453,14,6,255,255,2505143795,3592239707,583,45,0,0,774.788316,47.765387,1421927417,1421927417,11.837692,33.287,0.054878,0.008744,0.046134,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,26939,149.171.126.10,80,tcp,FIN,0.1906,844,268,254,252,2,1,http,31899.26758,9401.888672,10,6,255,255,3006332195,1452987536,84,45,1,0,996.632407,59.532129,1421927418,1421927418,18.573778,36.845602,0.050675,0.006354,0.044321,0,1,1,0,0,3,1,1,1,1,1,1,Exploits,1
175.45.176.0,39500,149.171.126.15,80,tcp,FIN,0.177449,1214,268,254,252,2,1,http,49276.12891,10098.67578,10,6,255,255,366102997,2277661750,121,45,1,0,1020.236764,62.002961,1421927419,1421927419,19.203667,34.071199,0.05198,0.007076,0.044904,0,1,1,0,0,5,2,1,1,1,1,1,DoS,1
175.45.176.0,29309,149.171.126.14,3000,tcp,FIN,0.19491,844,268,254,252,2,1,-,31193.88281,9193.986328,10,6,255,255,257622786,1677629526,84,45,0,0,1071.497007,61.076766,1421927420,1421927420,19.932667,37.800801,0.050128,0.005888,0.04424,0,1,0,0,0,1,1,1,1,1,1,1,Generic,1
175.45.176.0,61089,149.171.126.18,80,tcp,FIN,0.291485,804,948,62,252,2,2,http,19870.66211,22779.90234,10,8,255,255,680695067,4039411526,80,119,1,72,1595.821133,57.742824,1421927421,1421927421,32.387222,39.581855,0.062967,0.013476,0.049491,0,1,1,0,0,5,2,1,1,1,1,1,Exploits,1
175.45.176.0,23910,149.171.126.15,80,tcp,FIN,2.59291,2082,268,254,252,6,1,http,5967.041016,691.115356,14,6,255,255,2619540488,2887663221,149,45,1,0,17309.57132,1007.28625,1421927419,1421927422,198.502841,509.158,0.09546,0.047109,0.048351,0,1,1,0,0,5,2,1,2,2,1,1,DoS,1
175.45.176.3,44762,149.171.126.12,80,tcp,FIN,0.232939,828,4004,62,252,2,3,http,25620.44141,123774.8906,10,10,255,255,1642695991,2571518661,83,400,1,1546,1238.231758,1819.494123,1421927422,1421927422,25.882111,25.034111,0.053678,0.006931,0.046747,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.0,4159,149.171.126.18,80,tcp,FIN,0.432056,838,986,62,252,2,2,http,13979.66895,16442.3125,10,10,255,255,3972319434,3549329861,84,99,1,49,3335.436995,90.561766,1421927421,1421927422,48.006222,42.525668,0.093643,0.048778,0.044865,0,1,1,0,0,5,2,1,2,2,1,1,Exploits,1
175.45.176.2,43850,149.171.126.13,80,tcp,FIN,0.244832,876,9446,62,252,2,5,http,25780.94336,286629.2188,10,14,255,255,343078991,3590939569,88,675,1,4200,1295.366611,1510.194144,1421927423,1421927423,27.203556,18.206078,0.052299,0.007492,0.044807,0,1,1,0,0,3,1,1,1,1,1,1,Exploits,1
175.45.176.1,4765,149.171.126.13,80,tcp,FIN,0.249003,744,1306,62,252,2,2,http,21525.8457,36722.44922,10,8,255,255,3245068703,177825371,74,163,1,255,1455.885435,57.564633,1421927425,1421927425,27.667,32.583285,0.055891,0.010954,0.044937,0,1,1,0,0,3,2,1,1,1,1,1,Exploits,1
175.45.176.3,22359,149.171.126.11,111,udp,INT,1.7e-05,168,0,254,0,0,0,-,39529412.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927426,1421927426,0.017,0.0,0.0,0.0,0.0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
