state,dur,sbytes,sttl,sload,dload,swin,synack,ct_state_ttl,ct_srv_dst,ct_src_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat
INT,2.1e-05,728,254,138666672.0,0.0,0,0.0,2,1,1,1,1,Exploits
FIN,0.240139,918,62,28050.42188,815794.1875,255,0.006528,1,2,1,1,1,Exploits
FIN,2.39039,1362,254,4233.619141,749.668518,255,0.017959,1,2,1,1,1,Reconnaissance
FIN,0.17519,8168,254,346366.8125,10228.89453,255,0.008744,1,1,1,1,1,Exploits
FIN,0.1906,844,254,31899.26758,9401.888672,255,0.006354,1,1,1,1,1,Exploits
FIN,0.177449,1214,254,49276.12891,10098.67578,255,0.007076,1,2,1,1,1,DoS
FIN,0.19491,844,254,31193.88281,9193.986328,255,0.005888,1,1,1,1,1,Generic
FIN,0.291485,804,62,19870.66211,22779.90234,255,0.013476,1,2,1,1,1,Exploits
FIN,2.59291,2082,254,5967.041016,691.115356,255,0.047109,1,2,2,1,1,DoS
FIN,0.232939,828,62,25620.44141,123774.8906,255,0.006931,1,1,1,1,1,Exploits
FIN,0.432056,838,62,13979.66895,16442.3125,255,0.048778,1,2,2,1,1,Exploits
FIN,0.244832,876,62,25780.94336,286629.2188,255,0.007492,1,1,1,1,1,Exploits
FIN,0.249003,744,62,21525.8457,36722.44922,255,0.010954,1,2,1,1,1,Exploits
INT,1.7e-05,168,254,39529412.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.513537,776,62,10889.18652,18008.43945,255,0.051721,1,2,1,1,1,Exploits
FIN,0.214735,980,254,32859.10547,8345.169922,255,0.011071,1,1,1,1,1,Exploits
FIN,0.911799,1506,62,12713.32813,1232798.0,255,0.008915,1,1,1,1,1,Exploits
FIN,0.695382,564,254,5844.27002,3566.38501,255,0.053548,1,2,1,1,1,Reconnaissance
FIN,0.290395,1314,254,33196.16406,28264.95117,255,0.014164,1,1,1,1,1,Exploits
FIN,0.195749,946,254,34820.10156,9154.581055,255,0.010401,1,1,1,1,1,Exploits
FIN,0.185286,1144,254,44471.78906,9671.535156,255,0.012869,1,1,1,1,1,Exploits
FIN,1.040816,1608,62,11975.21973,1011391.125,255,0.006223,1,1,1,1,1,Exploits
FIN,0.625212,564,254,6500.194824,3966.654541,255,0.009784,1,2,1,1,1,Reconnaissance
FIN,0.629429,564,254,6456.645996,3940.079102,255,0.007514,1,1,1,1,1,Reconnaissance
FIN,0.268272,878,62,23588.0,26152.56055,255,0.008277,1,1,1,1,1,DoS
FIN,0.257718,798,62,22318.96875,149434.6563,255,0.010819,1,1,1,1,1,Exploits
FIN,0.261421,840,62,23135.09766,38038.26172,255,0.006686,1,1,1,1,1,Exploits
FIN,0.787029,3422,62,33045.79688,17717.26172,255,0.008784,1,2,1,1,1,Exploits
FIN,0.648669,2730,254,31806.66797,14022.55957,255,0.011941,1,2,1,1,1,Exploits
INT,1.9e-05,1388,254,292210528.0,0.0,0,0.0,2,1,1,1,1,Generic
INT,1.2e-05,168,254,56000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.187885,842,62,32275.0625,194842.5938,255,0.009946,1,1,1,1,1,Exploits
INT,1.7e-05,168,254,39529412.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,2.724995,2952,62,8273.042969,127131.25,255,0.005354,1,1,1,1,1,Exploits
FIN,0.633943,564,254,6410.670898,3912.023438,255,0.005882,1,1,1,1,1,Reconnaissance
INT,4e-06,168,254,168000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
INT,1.4e-05,168,254,48000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,1.09023,115727,62,841187.625,16811.13086,255,0.007914,1,1,1,1,1,Exploits
FIN,0.188505,1208,62,46173.84375,37898.19922,255,0.014591,1,1,1,1,1,Exploits
FIN,0.889128,48267,62,426251.3125,17491.29492,255,0.046449,1,1,1,1,1,Exploits
FIN,1.512013,10976,62,56756.12891,47359.38281,255,0.019205,1,1,1,1,1,Exploits
FIN,0.509136,30730,62,470161.1875,26397.66016,255,0.016218,1,1,1,1,1,Exploits
FIN,0.164546,6326,254,281939.4063,10890.57129,255,0.014021,1,1,2,1,1,Exploits
FIN,0.632601,564,254,6424.270508,3920.32251,255,0.007734,1,1,2,1,1,Reconnaissance
FIN,0.184494,1926,254,75189.4375,9713.052734,255,0.008163,1,1,1,1,1,Exploits
FIN,0.214066,468,254,15770.83691,8371.25,255,0.0076,1,1,1,1,1,DoS
FIN,0.534953,1710,62,24420.83789,1711776.5,255,0.006418,1,1,1,1,1,Generic
INT,2e-05,168,254,33600000.0,0.0,0,0.0,2,2,2,1,1,Reconnaissance
FIN,0.819419,1018,62,9489.650391,256982.0781,255,0.005657,1,1,2,1,1,Exploits
INT,1.5e-05,168,254,44800000.0,0.0,0,0.0,2,2,1,1,1,Reconnaissance
FIN,0.185421,954,254,37061.60547,9664.493164,255,0.005706,1,1,1,1,1,Exploits
FIN,0.183971,1000,254,39136.60156,9740.665039,255,0.006343,1,1,1,1,1,Exploits
INT,2.1e-05,136,254,25904762.0,0.0,0,0.0,2,1,1,1,1,DoS
FIN,0.760579,1062,62,10665.55859,316916.4688,255,0.00571,1,1,1,1,1,Exploits
FIN,0.240026,724,254,21730.97852,7465.85791,255,0.013979,1,1,1,1,1,Shellcode
INT,4e-06,376,254,376000000.0,0.0,0,0.0,2,1,1,1,1,Shellcode
FIN,2.788974,3470,62,9827.269531,1540305.5,255,0.005702,1,1,1,1,1,Exploits
FIN,2.788974,3470,62,9827.269531,1540305.5,255,0.005702,1,1,1,1,1,Exploits
FIN,0.625921,564,254,6492.832031,3962.161377,255,0.00878,1,1,1,1,1,Reconnaissance
FIN,0.190783,1092,254,41219.60547,9392.871094,255,0.00688,1,1,1,1,1,Reconnaissance
FIN,0.173385,1944,254,80745.16406,10335.38086,255,0.006152,1,1,1,1,1,Exploits
FIN,0.21913,820,62,26942.91211,92657.32813,255,0.005342,1,1,1,1,1,Exploits
FIN,0.388577,920,62,17376.2207,690457.75,255,0.008344,1,1,1,1,1,Exploits
FIN,0.191423,886,254,33350.22266,9361.466797,255,0.006095,1,1,1,1,1,Exploits
FIN,0.196875,836,62,30598.09375,279812.0625,255,0.005837,1,1,1,1,1,Exploits
FIN,0.785499,1016,62,9879.070312,320530.0313,255,0.006328,1,1,1,1,1,Exploits
FIN,0.785499,1016,62,9879.070312,320530.0313,255,0.006328,1,1,1,1,1,Exploits
FIN,0.389653,732,254,13529.98731,6364.637207,255,0.022293,1,1,1,1,1,Shellcode
FIN,0.179551,908,254,36446.46875,9980.451172,255,0.006393,1,1,1,1,1,Exploits
FIN,0.819719,9089,62,85297.52344,17215.6543,255,0.006697,1,1,1,1,1,Exploits
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.668831,1008,62,11387.03223,143845.0156,255,0.005869,1,1,1,1,1,Exploits
FIN,0.668831,1008,62,11387.03223,143845.0156,255,0.005869,1,1,1,1,1,Exploits
FIN,0.668831,1008,62,11387.03223,143845.0156,255,0.005869,1,1,1,1,1,Exploits
FIN,0.626161,564,254,6490.34375,3960.642822,255,0.006012,1,1,1,1,1,Reconnaissance
INT,1.1e-05,168,254,61090908.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.383638,1516,62,29652.95508,1366142.0,255,0.00806,1,1,1,1,1,Generic
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
INT,3e-06,1354,254,1805333248.0,0.0,0,0.0,2,1,1,1,1,Generic
FIN,0.189041,724,254,27591.89844,9479.424805,255,0.007052,1,1,1,1,1,Shellcode
FIN,0.809739,8374,254,79294.6875,16242.27051,255,0.007156,1,1,1,1,1,Generic
FIN,0.247229,774,62,22553.98828,244307.9063,255,0.014483,1,1,1,1,1,Exploits
FIN,0.963382,1126,62,8968.405273,333608.0625,255,0.009268,1,1,1,1,1,Exploits
FIN,0.410186,962,254,16889.89844,6046.037598,255,0.047924,1,2,1,1,1,Exploits
FIN,0.812535,956,62,8949.768555,43892.26563,255,0.007216,1,1,1,1,1,DoS
FIN,0.540105,1224,62,17122.59766,1079390.125,255,0.007107,1,2,1,1,1,Exploits
FIN,0.17926,804,254,32310.60938,9996.65332,255,0.007237,1,1,1,1,1,Exploits
FIN,0.193578,1196,254,44509.1875,9257.25,255,0.007889,1,1,1,1,1,Exploits
FIN,0.826131,5464,254,50510.14844,20403.54492,255,0.00915,1,1,1,1,1,Exploits
INT,2e-05,168,254,33600000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.246554,854,62,24951.9375,60546.57422,255,0.005949,1,1,1,1,1,DoS
FIN,0.632238,564,254,6427.959473,3922.57373,255,0.006709,1,3,1,1,1,Reconnaissance
FIN,0.420799,800,254,14125.50977,8878.348633,255,0.008334,1,3,1,1,1,Exploits
FIN,0.270259,802,62,21372.0918,34515.03906,255,0.012878,1,1,1,1,1,DoS
FIN,0.688757,1004,62,11022.75586,67228.35156,255,0.006206,1,3,1,1,1,Exploits
INT,6e-06,168,254,112000000.0,0.0,0,0.0,2,3,1,1,1,Reconnaissance
FIN,0.766203,1054,62,10514.18555,266550.7813,255,0.006211,1,1,1,1,1,Exploits
FIN,0.626992,564,254,6481.741699,3955.393555,255,0.007063,1,1,1,1,1,Reconnaissance
FIN,1.198946,1186,62,7559.973633,10295.70996,255,0.007949,1,1,2,1,2,Exploits
FIN,1.198946,1186,62,7559.973633,10295.70996,255,0.007949,1,1,2,1,2,Exploits
FIN,0.585136,364,62,4361.379395,43613.79297,255,0.053364,1,1,2,1,2,Exploits
FIN,0.585136,364,62,4361.379395,43613.79297,255,0.053364,1,1,2,1,2,Exploits
INT,1.1e-05,168,254,61090908.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.727269,1122,62,11726.06055,334731.7188,255,0.00682,1,1,1,1,1,Exploits
FIN,0.215663,806,62,26930.90625,30009.7832,255,0.006161,1,1,1,1,1,Exploits
FIN,0.263397,1276,254,34897.89063,26484.73438,255,0.007428,1,1,1,1,1,Exploits
FIN,0.640271,1166,62,13906.61133,503886.625,255,0.012074,1,1,1,1,1,Exploits
FIN,0.227812,920,254,29076.60547,31218.72266,255,0.015971,1,2,1,1,1,Exploits
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.282589,1118,62,28507.83398,72897.39063,255,0.009175,1,2,1,1,1,Generic
FIN,3.681019,4998,62,10768.75684,1859935.0,255,0.007474,1,1,1,1,1,Exploits
INT,1.1e-05,168,254,61090908.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.190013,720,254,27282.34375,9430.933594,255,0.006885,1,1,1,1,1,Shellcode
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.210934,844,62,28824.18164,175182.7656,255,0.006969,1,1,1,1,1,Exploits
FIN,0.179825,3202,254,128213.5469,9965.244141,255,0.007612,1,1,1,1,1,Exploits
INT,9e-06,762,254,338666656.0,0.0,0,0.0,2,1,1,1,1,Exploits
FIN,0.770105,8174,254,81381.10938,17296.3418,255,0.005486,1,1,1,1,1,Generic
FIN,0.245102,1132,254,33259.62109,7311.241699,255,0.008491,1,1,1,1,1,Exploits
FIN,0.186056,634,254,24551.74805,9631.508789,255,0.009288,1,1,1,1,1,Shellcode
INT,5e-06,1098,254,878400000.0,0.0,0,0.0,2,1,1,1,1,Generic
FIN,0.182807,1052,254,41442.61328,9802.688477,255,0.006671,1,1,1,1,1,Exploits
FIN,0.286396,812,62,20419.2793,51397.36719,255,0.006384,1,1,1,1,1,Exploits
INT,4e-06,136,254,136000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.299504,364,254,8520.753906,422405.0313,255,0.019464,1,2,4,1,4,DoS
FIN,1.38922,1072,254,5896.833984,9881.803711,255,0.00618,1,1,4,1,4,DoS
FIN,0.205144,832,254,29208.75,8735.327148,255,0.035843,1,1,4,1,4,Exploits
FIN,0.474462,364,254,5378.723633,3776.909424,255,0.046603,1,2,4,1,4,DoS
FIN,0.642478,564,254,6325.508301,3860.054443,255,0.006608,1,1,1,1,1,Reconnaissance
FIN,0.203967,638,254,22552.66797,168458.625,255,0.006522,1,1,1,1,1,Generic
FIN,0.450016,922,254,15235.01367,14221.7168,255,0.007526,1,1,1,1,1,Exploits
FIN,0.8489,1124,62,10159.0293,496897.1563,255,0.006,1,1,1,1,1,Exploits
